director_name;gender;movies_nb;fidelity_rel;fidelity_abs
Aki Kaurismäki;2;30;2.1;62
Allison Anders;1.0;9;0.2;2
Stephen Hopkins;2.0;14;0.5;7
Timo Novotny;2;5;0.0;0
Marc Meyer;2;2;0.0;0
George Lucas;2.0;19;1.7;32
Andrew Stanton;2.0;7;1.1;8
Robert Zemeckis;2.0;23;2.1;48
Sam Mendes;2.0;11;0.7;8
Orson Welles;2.0;33;0.8;28
Lars von Trier;2.0;29;1.8;52
John Fawcett;2.0;7;0.0;0
Luc Besson;2.0;20;1.8;36
Fritz Lang;2.0;47;2.2;104
Isabel Coixet;1.0;20;0.9;18
Bruce Brown;2.0;5;0.0;0
Gore Verbinski;2.0;12;2.7;32
Quentin Tarantino;2.0;13;3.5;45
Eytan Fox;2.0;9;0.6;5
Michael Winterbottom;2.0;29;1.9;56
Francis Ford Coppola;2.0;28;1.9;52
Kôji Morimoto;2;10;0.4;4
Tensai Okamura;2;3;0.0;0
Katsuhiro Ōtomo;2.0;10;0.4;4
Clint Eastwood;2.0;37;1.7;64
David Silverman;2.0;3;0.0;0
Michel Gondry;2.0;25;0.8;19
Alejandro González Iñárritu;2.0;11;1.1;12
David Cronenberg;2.0;28;1.7;48
Stanley Kubrick;2.0;16;0.9;14
Terry Gilliam;2.0;20;1.4;29
Pedro Almodóvar;2.0;23;3.2;74
Curtis Hanson;2.0;17;0.2;4
Hany Abu-Assad;2.0;12;0.5;6
James Mangold;2.0;13;1.2;16
Stephen Daldry;2.0;10;0.2;2
Tony Kaye;2.0;4;0.5;2
Steven Spielberg;2.0;44;1.9;83
Tim Burton;2.0;31;2.0;62
Richard Linklater;2.0;25;1.6;40
Christopher Nolan;2.0;13;2.3;30
Ridley Scott;2.0;34;1.4;48
Zhang Yimou;2.0;22;1.4;30
Hayao Miyazaki;2.0;28;0.8;23
Michael Mann;2.0;15;1.2;18
Chris Kentis;2.0;3;1.7;5
Oskar Roehler;2.0;13;1.9;25
Emile Ardolino;2.0;10;0.2;2
Martin Brest;2.0;8;0.2;2
Luis Buñuel;2.0;33;3.0;98
Michael Glawogger;2.0;12;1.2;14
Otto Preminger;2.0;39;2.1;82
André F. Nebe;2;2;0.0;0
Michael Bay;2.0;14;3.1;43
Tony Scott;2.0;20;1.4;29
Steven Lisberger;2.0;4;0.0;0
Guy Ritchie;2.0;14;2.1;30
Susanne Bier;1.0;14;3.1;43
Martin Scorsese;2.0;49;1.8;87
Tom Tykwer;2.0;13;2.2;28
John McTiernan;2;11;1.5;16
Krzysztof Kieślowski;2.0;49;2.1;104
Brian De Palma;2.0;38;2.1;79
Lone Scherfig;1.0;9;1.6;14
Kim Ki-duk;2.0;29;1.2;35
Garry Marshall;2.0;18;1.8;33
Joel Coen;2;14;2.5;35
Woody Allen;2.0;51;2.7;137
Peter Jackson;2.0;21;2.4;51
Ralph Bakshi;2.0;33;0.7;24
Albert Maysles;2.0;28;0.5;14
Robert Drew;2.0;8;1.0;8
D.A. Pennebaker;2.0;31;0.8;26
Tod Browning;2.0;27;2.1;58
Harold Ramis;2.0;12;1.9;23
Søren Kragh-Jacobsen;2.0;12;1.5;18
Richard Kelly;2.0;6;0.5;3
Ang Lee;2.0;17;1.4;23
Lewis Milestone;2;35;1.4;50
Wim Wenders;2.0;44;1.2;54
François Truffaut;2;26;3.0;77
Walter Hill;2;22;1.8;40
Robert Wise;2.0;40;1.4;58
Sofia Coppola;1.0;10;1.3;13
Nicholas Meyer;2.0;8;1.2;10
Leonard Nimoy;2.0;8;1.6;13
Thomas Jahn;2.0;8;1.1;9
Sönke Wortmann;2;19;1.4;27
Louis Lumière;2;76;0.6;45
Steven Soderbergh;2.0;34;2.3;77
Blake Edwards;2.0;40;2.5;98
Claude Pinoteau;2.0;10;1.8;18
Iain Softley;2.0;9;0.3;3
Danny Boyle;2.0;19;2.1;40
William Shatner;2.0;6;0.0;0
Richard Fleischer;2;48;1.6;76
James Wan;2.0;11;2.8;31
Sydney Pollack;2.0;22;1.6;35
Todd Holland;2;4;0.0;0
