title;imdb_rating;viewing_date;personal_rating;children;tmdb_id;original_language;vote_count;vote_average;release_date;original_title;budget;revenue;runtime;imdb_id;production_country;production_countries_number;production_company;production_companies_number;genre;genre_number;director;director_number;producer;producer_number;actor_number
The face of another;8;19/12/2015;3;none;29452;ja;44;7.5;1966-07-15;他人の顔;0;0;124;tt0061065;Japan;1;Toho Film (Eiga) Co. Ltd.;2;Drama;2;Hiroshi Teshigahara;1;Nobuyo Horiba;3;10
Happy people : One year in the taiga;7,2;27/06/2017;4;none
the age of shadows;7,2;15/07/2017;1;none;363579;ko;26;7.8;2016-09-07;밀정;8620000;0;139;tt4914580;South Korea;1;Warner Bros.;3;Action;4;Kim Jee-woon;1;none;0;11
Like a dragon;6,3;16/07/2017;1;none;180286;en;1;4;1960-06-01;Walk Like a Dragon;0;0;95;tt0054457;United States of America;1;James Clavell Productions;1;Western;1;James Clavell;1;none;0;11
Into the inferno;7,2;27/06/2017;3;none;360029;en;38;7;2016-09-07;Into the Inferno;0;0;104;tt4846318;Canada;3;Werner Herzog Filmproduktion;5;Documentary;1;Werner Herzog;1;André Singer;2;8
Okja;7,7;02/07/2017;3;AP;387426;en;402;7.9;2017-05-19;Okja;50000000;0;121;tt3967856;South Korea;2;Plan B Entertainment;3;Adventure;4;Bong Joon-ho;1;Bong Joon-ho;6;45
Wheel of Time;7,2;08/07/2017;2;none;333652;pl;1;8;1995-04-01;Wrzeciono czasu;0;0;101;tt0114989;Poland;1;Agencja Produkcji Filmowej;3;Romance;3;Andrzej Kondratiuk;1;none;0;5
Make Way for Tomorrow;8,3;14/07/2017;3;none;41059;en;33;7.6;1937-05-09;Make Way for Tomorrow;0;0;91;tt0029192;United States of America;1;Paramount Pictures;1;Drama;2;Leo McCarey;1;Leo McCarey;2;54
Nobody Speak: Trials of the Free Press;6,5;14/07/2017;4;none;430830;en;6;5;2017-01-24;Nobody Speak: Trials of the Free Press;0;0;105;tt6333064;none;0;none;0;Documentary;1;Brian Knappenberger;1;Femke Wolting;1;1
Joshua: Teenager vs. Superpower;7,5;15/07/2017;4;EMPA;433084;en;6;7.2;2017-01-20;Joshua: Teenager vs. Superpower;0;0;78;tt6333072;none;0;none;0;Documentary;1;Joe Piscatella;1;none;0;0
